trip_id,vendor_id,rate_code_id,pickup_location_id,dropoff_location_id,pickup_datetime,dropoff_datetime,passenger_count,trip_type,payment_type,taxi_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,ehail_fee,payment_name
367d689ba052826e146524ebec5413ec,2,1,264,264,2019-01-20T11:26:11Z,2019-01-20T11:27:04Z,1,1,2,Yellow,1.5,0.0,0.5,0.0,0.0,0.3,2.3,0.0,Cash
db56b0061476b3c75a5875f5df532309,2,1,144,79,2019-01-31T16:07:31Z,2019-01-31T16:11:12Z,1,1,1,Yellow,5.0,0.5,0.5,1.58,0.0,0.3,7.88,0.0,Credit Card
46cd009b8cd1bd6e4c95708f03655b25,2,1,158,237,2019-01-31T23:57:42Z,2019-02-01T00:11:58Z,1,1,1,Yellow,14.0,0.5,0.5,4.59,0.0,0.3,19.89,0.0,Credit Card
b2c8496530f6b6606f1bd7bc07fceae4,2,1,42,261,2019-01-01T14:43:45Z,2019-01-01T15:17:48Z,1,1,1,Green,35.5,0.0,0.5,0.0,0.0,0.3,36.3,,Credit Card
41c274ee24f4865d23211a1241f92025,2,1,39,35,2019-01-01T14:31:05Z,2019-01-01T14:50:05Z,1,1,1,Green,14.0,0.0,0.5,0.0,0.0,0.3,14.8,,Credit Card
afc7c0c430193acf9a39c0703221f54b,2,1,226,223,2019-01-01T19:03:15Z,2019-01-01T19:22:27Z,1,1,2,Green,14.0,0.0,0.5,0.0,0.0,0.3,14.8,,Cash
cdc30c52de91d2fc88e7b9d7ed2685df,1,1,41,143,2019-01-01T19:36:09Z,2019-01-01T19:52:49Z,1,1,1,Green,14.0,0.0,0.5,2.22,0.0,0.3,17.02,,Credit Card
79e53454f275fc272a1705b18674e42d,2,5,74,42,2019-01-01T00:44:36Z,2019-01-01T00:54:34Z,1,2,1,Green,14.0,0.0,0.0,0.88,0.0,0.0,14.88,,Credit Card
636a798e9e195c7604f1b8f32846ee9e,2,1,190,52,2019-01-01T13:58:52Z,2019-01-01T14:15:02Z,1,1,1,Green,14.0,0.0,0.5,2.22,0.0,0.3,18.97,,Credit Card
4c8867683c1396a34c669ba7c11d7e2f,2,1,112,7,2019-01-01T11:23:08Z,2019-01-01T11:35:05Z,1,1,1,Green,11.5,0.0,0.5,0.0,0.0,0.3,12.3,,Credit Card
42aa15c2f3d80612dbc63c8eee317a87,2,1,135,28,2019-01-01T16:31:50Z,2019-01-01T16:45:32Z,1,1,1,Green,11.5,0.0,0.5,0.0,0.0,0.3,12.3,,Credit Card
b582bb73c341d94749e93656d0a77691,2,1,82,129,2019-01-01T16:07:37Z,2019-01-01T16:17:06Z,1,1,2,Green,11.5,0.0,0.5,0.0,0.0,0.3,12.3,,Cash
f42376bbfb17284618ed81b63c2c76ff,1,1,82,56,2019-01-01T01:01:51Z,2019-01-01T01:17:16Z,1,1,2,Green,11.5,0.5,0.5,0.0,0.0,0.3,12.8,,Cash
5373bae5cfd81fa51c2adbeb91768e70,2,1,74,244,2019-01-01T15:41:04Z,2019-01-01T15:53:31Z,1,1,1,Green,11.5,0.0,0.5,2.46,0.0,0.3,14.76,,Credit Card
7af3f443593f4ea19fbf4fd04f39b3fb,2,1,74,238,2019-01-01T15:55:21Z,2019-01-01T16:08:26Z,6,1,1,Green,11.5,0.0,0.5,2.46,0.0,0.3,14.76,,Credit Card
58a43c52e63c19a492027f320b473771,2,1,244,42,2019-01-01T12:01:25Z,2019-01-01T12:09:31Z,1,1,1,Green,11.5,0.0,0.5,2.46,0.0,0.3,16.71,,Credit Card
bd911a875a7d65015e27d0de3c6be71b,2,1,130,223,2019-01-01T01:49:07Z,2019-01-01T02:11:00Z,1,1,2,Green,28.0,0.5,0.5,0.0,0.0,0.3,29.3,,Cash
440c00613c9522048ee08ac9c5f272f0,2,1,61,224,2019-01-01T01:40:47Z,2019-01-01T02:14:19Z,5,1,2,Green,28.0,0.5,0.5,0.0,0.0,0.3,29.3,,Cash
6a9317638f3ec28188f07742e34ea681,1,1,41,74,2019-01-01T17:04:43Z,2019-01-01T17:14:37Z,1,1,1,Green,9.0,1.0,0.5,3.2,0.0,0.3,14.0,,Credit Card
8f685ccece2d6e3799cb327450c66028,2,1,129,83,2019-01-01T18:49:19Z,2019-01-01T19:00:38Z,1,1,1,Green,9.0,0.0,0.5,0.0,0.0,0.3,9.8,,Credit Card
54f4516795b0527821fa8c1b42eabf0d,2,1,41,238,2019-01-01T06:55:44Z,2019-01-01T07:04:45Z,1,1,2,Green,9.0,0.0,0.5,0.0,0.0,0.3,9.8,,Cash
a11288177692e525609855d90e899341,2,1,95,56,2019-01-01T14:52:44Z,2019-01-01T15:02:17Z,1,1,2,Green,9.0,0.0,0.5,0.0,0.0,0.3,9.8,,Cash
b3a6e8592ed8de9567a06d62de22d082,2,1,225,61,2019-01-01T05:49:16Z,2019-01-01T05:57:59Z,1,1,2,Green,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,Cash
f6d1f1af9742c2c0b3ab360fb0270a38,2,1,89,89,2019-01-01T01:48:26Z,2019-01-01T01:58:31Z,1,1,2,Green,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,Cash
6c7113e82399750a6dd365d059c5edca,1,1,95,56,2019-01-01T00:33:57Z,2019-01-01T00:44:36Z,1,1,2,Green,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,Cash
a3e4cb21695651ce2c55cb5d2004416d,2,1,41,116,2019-01-01T00:09:27Z,2019-01-01T00:18:21Z,1,1,2,Green,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,Cash
960a0dfad40502e2c93360fe1f7b5d29,2,1,41,238,2019-01-01T01:22:12Z,2019-01-01T01:31:47Z,1,1,1,Green,9.0,0.5,0.5,2.06,0.0,0.3,12.36,,Credit Card
4441b9334581ac4a62db6be4303919e8,2,1,95,134,2019-01-01T15:56:03Z,2019-01-01T16:06:43Z,1,1,1,Green,9.0,0.0,0.5,2.94,0.0,0.3,12.74,,Credit Card
001ecaf78c95c9ceae74a44c28cb1b82,2,1,25,262,2019-01-01T00:19:41Z,2019-01-01T00:45:45Z,1,1,2,Green,25.5,0.5,0.5,0.0,0.0,0.3,26.8,,Cash
03c8dacde22eec3b8582fecfe9838f73,2,1,134,223,2019-01-01T23:28:14Z,2019-01-01T23:41:38Z,1,1,1,Green,25.5,0.5,0.5,5.36,0.0,0.3,32.16,,Credit Card
dfb9f9e4aa589f6a5bb1b9350cec3ecc,2,1,25,33,2019-01-01T11:07:19Z,2019-01-01T11:12:17Z,1,1,1,Green,6.5,0.0,0.5,1.7,0.0,0.3,9.0,,Credit Card
2e989495ea3ac6acf7b30faf49e39ac2,2,1,75,74,2019-01-01T09:55:29Z,2019-01-01T10:00:27Z,2,1,2,Green,6.5,0.0,0.5,0.0,0.0,0.3,7.3,,Cash
61c4bfd481c036eb71651b47fdd42fa9,2,1,82,82,2019-01-01T06:29:10Z,2019-01-01T06:39:18Z,1,1,2,Green,6.5,0.0,0.5,0.0,0.0,0.3,7.3,,Cash
174d0a8071d043dfad6f6a8426dff6ef,2,1,43,75,2019-01-01T17:50:40Z,2019-01-01T17:57:16Z,1,1,2,Green,6.5,0.0,0.5,0.0,0.0,0.3,7.3,,Cash
173f9bdfd60e94794219caec0ce96ecb,1,1,152,244,2019-01-01T09:21:22Z,2019-01-01T09:26:53Z,1,1,2,Green,6.5,0.0,0.5,0.0,0.0,0.3,7.3,,Cash
6b3c122b2ebd37254b9f0bc38d1cf3ba,2,1,42,41,2019-01-01T19:33:24Z,2019-01-01T19:39:34Z,1,1,2,Green,6.5,0.0,0.5,0.0,0.0,0.3,7.3,,Cash
9321b592286a95f843349a5565e7fffe,2,1,49,97,2019-01-01T12:36:33Z,2019-01-01T12:43:35Z,1,1,1,Green,6.5,0.0,0.5,0.0,0.0,0.3,7.3,,Credit Card
d43a683dc44b8da352bf5ea7766c69f3,2,1,61,17,2019-01-01T18:13:55Z,2019-01-01T18:19:35Z,1,1,2,Green,6.5,0.0,0.5,0.0,0.0,0.3,7.3,,Cash
4da06f0c2d51dddf39434b662f90728c,2,1,112,256,2019-01-01T02:45:53Z,2019-01-01T02:52:23Z,1,1,1,Green,6.5,0.5,0.5,5.0,0.0,0.3,12.8,,Credit Card
a23bc5f367bdc1cee29650a5de604957,2,1,83,82,2019-01-01T04:39:59Z,2019-01-01T04:47:09Z,1,1,2,Green,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,Cash
bf4a7bacb536201bce1e67f3accf76d8,2,1,112,255,2019-01-01T22:16:00Z,2019-01-01T22:22:37Z,1,1,2,Green,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,Cash
8a9cf5ab2811b84956c255290959842c,2,1,17,49,2019-01-01T16:25:25Z,2019-01-01T16:32:07Z,1,1,2,Green,6.5,1.0,0.5,0.0,0.0,0.3,8.3,,Cash
fadb561626d8b90868f43c100e6e620d,2,1,49,55,2019-01-01T03:05:42Z,2019-01-01T04:02:57Z,1,1,1,Green,42.0,0.5,0.5,0.0,0.0,0.3,43.3,,Credit Card
bd238f161b3b4b58e139c3197bb0b894,2,1,181,42,2019-01-01T03:33:19Z,2019-01-01T04:03:14Z,1,1,2,Green,42.0,0.5,0.5,0.0,0.0,0.3,43.3,,Cash
a113a9711698b42803c75de7f0e9e9dd,2,1,89,217,2019-01-01T15:56:01Z,2019-01-02T15:49:56Z,1,1,1,Green,23.0,0.0,0.5,0.0,0.0,0.3,23.8,,Credit Card
05758fdd192b3d98efdf426801856a7c,2,1,41,18,2019-01-01T02:13:23Z,2019-01-01T02:35:49Z,1,1,2,Green,23.0,0.5,0.5,0.0,0.0,0.3,24.3,,Cash
747ddfeb9cdf154f159c8bd719bdec49,2,1,7,7,2019-01-01T18:29:30Z,2019-01-01T18:32:31Z,5,1,2,Green,4.0,0.0,0.5,0.0,0.0,0.3,4.8,,Cash
922c042f42737b5a3aa22bd035836f6e,2,1,74,75,2019-01-01T13:05:14Z,2019-01-01T13:07:38Z,1,1,2,Green,4.0,0.0,0.5,0.0,0.0,0.3,4.8,,Cash
22fdba8b3b1775d109a900eb947890af,1,1,41,41,2019-01-01T15:48:09Z,2019-01-01T15:50:54Z,1,1,2,Green,4.0,0.0,0.5,0.0,0.0,0.3,4.8,,Cash
af5b784d25239cc01d8822ca05bd39ad,1,1,49,97,2019-01-01T08:26:59Z,2019-01-01T08:29:04Z,1,1,1,Green,4.0,0.0,0.5,0.72,0.0,0.3,5.52,,Credit Card
707ea6214722fcdfe7681c78b35d69eb,2,1,80,255,2019-01-01T01:33:49Z,2019-01-01T01:36:32Z,1,1,2,Green,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,Cash
b67df15afe895e2f01b7547da6632463,2,1,7,179,2019-01-01T00:22:01Z,2019-01-01T00:24:36Z,1,1,2,Green,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,Cash
e98480b81ba77a51e1b0c9c816528e50,2,1,80,36,2019-01-01T09:52:40Z,2019-01-01T09:55:53Z,1,1,1,Green,4.0,0.0,0.5,0.96,0.0,0.3,5.76,,Credit Card
aa3ccbe6cffda219c1e74ee494eb0c2e,2,1,181,228,2019-01-01T04:02:30Z,2019-01-01T04:05:06Z,1,1,1,Green,4.0,0.5,0.5,1.59,0.0,0.3,6.89,,Credit Card
3f38cd914d889d688243c8093635621f,1,1,7,160,2019-01-01T04:15:11Z,2019-01-01T04:35:20Z,1,1,2,Green,20.5,0.5,0.5,0.0,0.0,0.3,21.8,,Cash
